date,ticker,first30_high,first30_low,day_high,day_low,hi_match,lo_match,spike,both_match,hi_exact,lo_exact
2025-03-17,AAPL,214.0503,211.2623,214.0503,210.4035,1,0,1,0,1,0
2025-03-18,AAPL,214.1300,212.0390,214.2295,212.0390,1,1,1,1,0,1
2025-03-19,AAPL,216.7886,212.9950,217.8241,211.5000,0,0,0,0,0,0
2025-03-20,AAPL,214.5681,211.9892,216.5594,211.9892,0,1,1,0,0,1
2025-03-21,AAPL,213.5027,210.3761,213.6222,209.8400,0,0,0,0,0,0
2025-03-24,AAPL,220.0844,217.6449,220.0844,216.7900,1,0,1,0,1,0
2025-03-25,AAPL,221.7771,219.1385,222.7928,219.1000,0,1,1,0,0,0
2025-03-26,AAPL,224.0573,222.3546,237.0500,211.5800,0,0,0,0,0,0
2025-03-27,AAPL,221.1498,219.6165,221.6078,219.4900,0,0,0,0,0,0
2025-03-28,AAPL,222.8525,220.0446,223.0800,218.6804,0,0,0,0,0,0
2025-03-31,AAPL,217.5652,215.3049,218.7501,213.9800,0,0,0,0,0,0
2025-04-01,AAPL,222.4044,217.9635,222.4343,217.9635,1,1,1,1,0,1
2025-04-02,AAPL,222.0460,220.0744,223.4997,219.9400,0,0,0,0,0,0
2025-04-03,AAPL,206.6023,201.6536,222.9300,201.6536,0,1,1,0,0,1
2025-04-04,AAPL,199.0249,191.9453,205.3700,189.5200,0,0,0,0,0,0
2025-04-07,AAPL,180.3651,173.8729,193.3194,173.6500,0,0,0,0,0,0
2025-04-08,AAPL,187.7533,184.2982,191.9900,174.3900,0,0,0,0,0,0
2025-04-09,AAPL,178.1346,171.1546,187.6200,167.2800,0,0,0,0,0,0
2025-04-10,AAPL,193.9466,188.1815,198.0000,188.1815,0,1,1,0,0,1
2025-04-11,AAPL,192.4232,185.2640,194.1800,185.2640,0,1,1,0,0,1
2025-04-14,AAPL,212.0290,205.2183,212.0290,197.3000,1,0,1,0,1,0
2025-04-15,AAPL,202.6393,200.2795,203.2100,197.7000,0,0,0,0,0,0
2025-04-16,AAPL,199.8414,195.4303,201.6000,195.1615,0,0,0,0,0,0
2025-04-17,AAPL,196.3563,193.8073,212.0500,193.4400,0,0,0,0,0,0
2025-04-21,AAPL,192.9709,191.5570,212.2800,190.4517,0,0,0,0,0,0
2025-04-22,AAPL,197.0235,195.1316,198.5370,192.3300,0,0,0,0,0,0
2025-04-23,AAPL,206.7417,203.7547,207.1101,179.2300,0,0,0,0,0,0
2025-04-24,AAPL,204.7602,202.0718,205.7759,200.6400,0,0,0,0,0,0
