date,streak_len,next_1d_ret,max_bounce_3d,rsi,close,vix,vix_bucket,rsi_bucket
2025-04-08,2,-0.009995253196292686,-0.009995253196292636,,89744.6,15.68,<16,
2025-04-09,3,-0.013415446993604196,-0.013415446993604188,,88847.58,14.99,<16,
2025-04-10,4,-0.03371944649318093,-0.033719446493180955,,87655.65,14.18,<16,
2025-04-11,5,-0.02461123058514192,-0.023797534709288425,,84699.95,14.37,<16,
2025-04-12,6+,-0.005998277802510943,0.038088791699560066,,82615.38,12.58,<16,
2025-04-13,6+,0.006873735612945131,0.04958583085230444,,82119.83,12.58,<16,
2025-04-18,2,-0.039320683254203015,-0.02425080835828276,43.29677649938113,83505.67,12.55,<16,30-50
2025-04-19,3,0.01568668611183166,0.015686686111831657,36.48438382728888,80222.17,10.0,<16,30-50
2025-04-26,2,0.030920041452441538,0.07075803388918042,41.53009699781196,80690.06,10.49,<16,30-50
2025-05-04,2,-0.012290607488193439,-0.012290607488193417,56.03723746553351,89432.52,15.92,<16,>50
2025-05-05,3,-0.03429577099654546,-0.034295770996545495,53.57825764887028,88333.34,15.92,<16,>50
2025-05-06,4,-0.043156067461409764,-0.04315606746140978,47.40413111397137,85303.88,18.52,16-20,30-50
2025-05-07,5,-0.0301628840086986,-0.030162884008698595,41.192132817357546,81622.5,20.94,20-25,30-50
2025-05-08,6+,-0.035138976457080306,-0.03513897645708026,37.63975823530406,79160.53,20.79,20-25,30-50
2025-05-09,6+,-0.015424807711971855,0.0057801296195506835,34.06525387041661,76378.91,22.46,20-25,30-50
2025-05-10,6+,-0.014031902328672574,0.021537143630691074,32.65094314360961,75200.78,21.76,20-25,30-50
2025-05-11,6+,0.036075250348739596,0.03607525034873954,31.393736740950516,74145.57,21.76,20-25,30-50
2025-05-14,2,0.058959963778757674,0.09444151344497491,32.110213487189355,72178.64,19.44,16-20,30-50
2025-05-18,2,-0.01778432823265208,-0.017784328232652108,42.567860951028074,76554.48,17.47,16-20,30-50
2025-05-19,3,-0.03071070036962209,-0.03071070036962207,40.5360007711702,75193.01,17.47,16-20,30-50
2025-05-20,4,-0.021134469150749347,-0.021134469150749326,37.28518682913385,72883.78,18.26,16-20,30-50
2025-05-21,5,-0.03505116519505225,-0.0350511651950523,35.254223453579414,71343.42,17.32,16-20,30-50
2025-05-22,6+,-0.028179147404773786,-0.02817914740477382,32.18880699993939,68842.75,18.91,16-20,30-50
2025-05-23,6+,-0.017798053953480664,-0.017798053953480664,30.008877537345086,66902.82,19.89,16-20,30-50
2025-05-24,6+,-0.03182672044470369,-0.031826720444703645,28.72304728210399,65712.08,18.92,16-20,<30
2025-05-25,6+,-0.016052956365760318,-0.01605295636576036,26.569648136817833,63620.68,18.92,16-20,<30
2025-05-26,6+,-0.022543034771270953,-0.022543034771270905,25.56181949054455,62599.38,18.92,16-20,<30
2025-05-27,6+,-0.041146495566138586,-0.04114649556613858,24.196104396537464,61188.2,19.85,16-20,<30
2025-05-28,6+,-0.010874115313789567,-0.0073280414081892415,21.94353707741074,58670.52,19.79,16-20,<30
2025-05-29,6+,0.003585058242334238,0.0035850582423341344,21.399859677904615,58032.53,21.34,20-25,<30
