date,streak_len,next_1d_ret,max_bounce_3d,rsi,close,vix,vix_bucket,rsi_bucket
2025-04-16,2,-0.02191270326012884,-0.021912703260128803,69.3653841197133,2259.42,13.51,<16,>50
2025-04-17,3,-0.019163676348810554,-0.019163676348810544,64.22338710789532,2209.91,13.75,<16,>50
2025-04-18,4,-0.07718817472180695,-0.02510195796194793,60.118136215592365,2167.56,12.55,<16,>50
2025-04-19,5,-0.00833895763029624,0.05644294463192105,47.2642968770759,2000.25,10.0,<16,30-50
2025-04-20,6+,0.06532665849957398,0.06532665849957409,46.20366991707578,1983.57,10.0,<16,30-50
2025-04-23,2,0.0150831702544032,0.015083170254403096,49.9102892098316,2044.0,12.42,<16,30-50
2025-05-04,2,-0.024007493463196306,-0.02400749346319632,58.37369561927766,2252.63,15.92,<16,>50
2025-05-05,3,-0.01498260216961178,-0.014982602169611814,54.96342356494712,2198.55,15.92,<16,>50
2025-05-06,4,-0.0387142652647523,-0.03871426526475226,52.934875384013786,2165.61,18.52,16-20,>50
2025-05-07,5,-0.035450602131839704,-0.006263900430883317,48.07176652781494,2081.77,20.94,20-25,30-50
2025-05-08,6+,0.0302594162263381,0.03025941622633804,44.220647278054564,2007.97,20.79,20-25,30-50
2025-05-11,2,0.054206396254282696,0.10272086971374615,43.719372530569096,1990.54,21.76,20-25,30-50
2025-05-15,2,-0.03884411073159877,-0.03884411073159874,48.02282343971999,2066.98,18.03,16-20,30-50
2025-05-16,3,-0.018095425053732628,-0.018095425053732614,43.97492875086027,1986.69,17.03,16-20,30-50
2025-05-17,4,-0.04193793124660383,-0.041937931246603825,42.25739091027088,1950.74,17.47,16-20,30-50
2025-05-18,5,-0.025779456694472236,-0.02577945669447227,38.56593864403877,1868.93,17.47,16-20,30-50
2025-05-19,6+,-0.015784704105451075,-0.015784704105451054,36.54140540732158,1820.75,17.47,16-20,30-50
2025-05-20,6+,-0.05183564823857012,-0.004564706670163707,35.34932172945555,1792.01,18.26,16-20,30-50
2025-05-21,6+,-0.014107302603700633,0.07194900889872405,31.744700683928954,1699.12,17.32,16-20,30-50
2025-05-22,6+,0.06487777213980817,0.129809270811569,30.869922737139618,1675.15,18.91,16-20,30-50
2025-05-27,2,-0.036716980102082575,-0.03671698010208259,42.95109308752039,1831.85,19.85,16-20,30-50
2025-05-28,3,-0.03250046753070113,-0.032500467530701134,39.51387687099303,1764.59,19.79,16-20,30-50
2025-05-29,4,-0.04790773412056881,-0.042764930531149686,36.80899772282925,1707.24,21.34,20-25,30-50
2025-05-30,5,-0.05047832907810146,0.005401581100618273,33.307223625026595,1625.45,21.89,20-25,30-50
2025-05-31,6+,0.05885058960736034,0.058850589607360324,30.203037092445413,1543.4,22.67,20-25,30-50
