ticker,direction,pattern,entry_time,exit_time,entry_price,exit_price,pnl,pnl_r,is_winner
AAPL,short,LP1,2025-12-16 17:25:00,2025-12-16 17:25:00,273.56617582,276.7016361620901,-294.73327215646793,-0.9829869536911524,False
AAPL,short,LP1,2025-12-30 17:40:00,2025-12-30 22:55:00,272.76713566,273.044598,-26.08145995999996,-0.08699897807578941,False
AMD,short,LP2,2025-06-09 18:50:00,2025-06-09 19:30:00,121.87562000000001,122.12838559345188,-273.4923721149224,-0.9121792250447774,False
AMD,short,CLP,2025-07-18 19:25:00,2025-07-18 19:45:00,156.81862999999998,156.95346815268073,-243.38286558874103,-0.8113897229636295,False
AMD,short,LP1,2025-10-13 17:20:00,2025-10-14 16:30:00,216.80033126,218.36256685660155,-290.5758209678863,-0.9731725093960926,False
AMZN,long,LP2,2025-07-15 20:35:00,2025-07-15 22:55:00,226.355262,226.35525294578954,-0.005695098383000641,-1.901008078060678e-05,False
AMZN,long,MODEL4,2025-10-30 18:30:00,2025-10-30 20:00:00,251.930376,248.8684772236553,-440.9134237936355,-0.9836189748401691,False
AMZN,short,CLP,2025-11-04 19:05:00,2025-11-04 20:00:00,248.40031,248.4003000639876,0.003527284398359143,1.1763373511167271e-05,True
AMZN,short,LP1,2025-11-10 22:20:00,2025-11-10 22:35:00,248.170356,248.6492605301858,-271.5388686153573,-0.9062049956680162,False
AMZN,long,MODEL4,2026-01-09 17:35:00,2026-01-09 22:55:00,247.37016413999999,247.260538,-15.895790299998396,-0.03553851095284245,False
AMZN,long,MODEL4,2026-01-12 17:40:00,2026-01-12 22:55:00,246.44427900000002,246.370716,-10.666635000005158,-0.023850437508337135,False
BA,long,MODEL4,2025-07-28 16:45:00,2025-07-28 16:50:00,236.52409536,250.7832118595402,2061.6379757521686,4.581790392742765,True
BA,short,LP1,2025-12-11 17:55:00,2025-12-11 18:05:00,200.65985999999998,201.19877243437392,-279.1566410057015,-0.9308208427210414,False
BA,long,MODEL4,2025-12-12 17:05:00,2025-12-12 17:05:00,204.5409,202.0613910842751,-441.35258699903085,-0.9835868573773888,False
