streak_len,streak_bin,date,bar_num,bar_label,next_bar_ret,next_2bar_ret,rsi,vix,vix_bucket,ticker,split
2,2,2025-04-28,1,2025-04-28_B1,0.009360675512665851,0.010759951749095246,57.63069835977775,24.84,20-25,AAPL,A
2,2,2025-05-05,2,2025-05-05_B2,0.003284155214228,-0.0018189167340338785,39.802606908071674,22.68,20-25,AAPL,B
2,2,2025-05-07,1,2025-05-07_B1,0.004731050087421513,0.019695567211765835,35.763035303775766,24.76,20-25,AAPL,A
2,2,2025-05-15,2,2025-05-15_B2,-0.0016128267160002059,-0.0012333380769412785,60.40005690585291,18.62,<20,AAPL,B
3,3,2025-05-16,1,2025-05-16_B1,0.00038010167719871007,-0.010357770703663262,59.611716928414225,17.83,<20,AAPL,A
2,2,2025-05-19,2,2025-05-19_B2,-0.006582740726503962,-0.00903325004804918,53.901395496067536,17.24,<20,AAPL,B
3,3,2025-05-20,1,2025-05-20_B1,-0.0024667472793228097,-0.025489721886336206,50.67780453589798,18.14,<20,AAPL,A
4,4,2025-05-20,2,2025-05-20_B2,-0.023079906904577285,-0.0232738557020947,49.491210159615036,18.14,<20,AAPL,A
5,5,2025-05-21,1,2025-05-21_B1,-0.00019853087155048663,-0.0010422870756401606,40.062645605323254,18.09,<20,AAPL,B
6,6,2025-05-21,2,2025-05-21_B2,-0.0008439237490070865,-0.003375694996028628,39.993693625140146,18.09,<20,AAPL,B
7,7,2025-05-22,1,2025-05-22_B1,-0.0025339096735729084,-0.026084364286778954,39.68111119996401,20.87,20-25,AAPL,A
8,8,2025-05-22,2,2025-05-22_B2,-0.02361028093245657,-0.02998605299860521,38.70380063627603,20.87,20-25,AAPL,B
9,8,2025-05-23,1,2025-05-23_B1,-0.006529945923885323,0.016988062442607817,31.049631326481162,20.28,20-25,AAPL,B
10,8,2025-05-23,2,2025-05-23_B2,0.023672589093149763,0.024853651021875336,29.361011900901588,20.28,20-25,AAPL,A
2,2,2025-05-29,1,2025-05-29_B1,-0.0002006319907708885,-0.009479861563926441,42.218767495057925,19.31,<20,AAPL,A
3,3,2025-05-29,2,2025-05-29_B2,-0.009281091657051235,0.003561932473787084,42.13525216143822,19.31,<20,AAPL,A
4,4,2025-05-30,1,2025-05-30_B1,0.012963338059550347,0.014026736884747875,38.356122544834165,19.18,<20,AAPL,A
2,2,2025-06-05,1,2025-06-05_B1,-0.009703931082285275,0.004901475393603373,50.25551700188233,17.61,<20,AAPL,B
3,3,2025-06-05,2,2025-06-05_B2,0.014748525147485194,0.01644835516448351,44.29368760712185,17.61,<20,AAPL,B
2,2,2025-06-11,2,2025-06-11_B2,0.002068200161420483,0.001765536723163813,40.91597521485447,16.95,<20,AAPL,A
2,2,2025-06-13,1,2025-06-13_B1,-0.004118783687582642,0.003101800061019087,37.43119153362441,18.02,<20,AAPL,B
3,3,2025-06-13,2,2025-06-13_B2,0.0072504467704876995,0.009752361501148821,35.63649479058756,18.02,<20,AAPL,B
2,2,2025-06-17,2,2025-06-17_B2,0.002153404429860623,0.003076292042657887,36.12266153118807,19.11,<20,AAPL,B
2,2,2025-06-30,1,2025-06-30_B1,0.02480705622932754,0.039691289966924004,49.189107326429685,16.32,<20,AAPL,A
2,2,2025-07-11,1,2025-07-11_B1,-0.00042751282538477773,-0.010260307809234261,61.150759246064766,15.78,<20,AAPL,A
3,3,2025-07-11,2,2025-07-11_B2,-0.009837000427695638,-0.012023000522739158,60.81084561943699,15.78,<20,AAPL,A
4,4,2025-07-14,1,2025-07-14_B1,-0.0022077174121712803,0.008014974083317274,53.451500910610065,16.4,<20,AAPL,B
5,5,2025-07-14,2,2025-07-14_B2,0.010245310245310222,0.002260702260702255,51.94700575975912,16.4,<20,AAPL,A
2,2,2025-07-23,1,2025-07-23_B1,0.0008900548086382055,0.003091769335269577,62.764865802544584,16.5,<20,AAPL,A
2,2,2025-07-28,1,2025-07-28_B1,0.0018780224423680795,-0.006713930231466297,58.28832470790112,14.93,<20,AAPL,B
2,2,2025-07-29,2,2025-07-29_B2,-0.007545916188125876,-0.011057852024109024,47.3667970202995,15.03,<20,AAPL,B
3,3,2025-07-30,1,2025-07-30_B1,-0.0035386381025249093,-0.005212318286151508,41.573736705165246,15.98,<20,AAPL,B
4,4,2025-07-30,2,2025-07-30_B2,-0.0016796237642767748,-0.006718495057107235,39.17250194573414,15.98,<20,AAPL,B
5,5,2025-07-31,1,2025-07-31_B1,-0.005047348940056777,-0.0320146132769312,38.05299845614152,15.48,<20,AAPL,A
6,6,2025-07-31,2,2025-07-31_B2,-0.027104068025896152,-0.025751280316938758,34.83649154565762,15.48,<20,AAPL,A
7,7,2025-08-01,1,2025-08-01_B1,0.001390475244574669,0.010726523315290245,23.43752287893541,16.72,<20,AAPL,B
2,2,2025-08-11,2,2025-08-11_B2,0.011020983953447364,0.010403808852054245,71.88315655583312,15.15,<20,AAPL,B
2,2,2025-08-14,2,2025-08-14_B2,-0.009725031197555795,-0.005077671156245873,75.61109059866845,14.49,<20,AAPL,A
3,3,2025-08-15,1,2025-08-15_B1,0.004692999608916754,0.0021726850041281017,68.8670489816818,14.83,<20,AAPL,B
2,2,2025-08-18,2,2025-08-18_B2,-0.0011282763409129965,-0.00138864780420063,67.90186409410488,15.09,<20,AAPL,B
3,3,2025-08-19,1,2025-08-19_B1,-0.00026066556607873086,-0.01876792075766788,67.04647993191905,14.99,<20,AAPL,A
4,4,2025-08-19,2,2025-08-19_B2,-0.01851208065357201,-0.019946115070398066,66.83723230023077,14.99,<20,AAPL,B
5,5,2025-08-20,1,2025-08-20_B1,-0.0014610820862481736,-0.00934207030904106,53.96055026887127,15.57,<20,AAPL,B
6,6,2025-08-20,2,2025-08-20_B2,-0.007892519842149608,-0.0046556999068860525,53.10700540905748,15.57,<20,AAPL,A
7,7,2025-08-21,1,2025-08-21_B1,0.0032625698324021887,0.019843575418994404,48.63794764387336,15.69,<20,AAPL,A
2,2,2025-08-29,1,2025-08-29_B1,0.0010363141759143705,-0.015631072153374517,62.919699330442874,14.43,<20,AAPL,A
2,2,2025-09-09,2,2025-09-09_B2,-0.03219324497648568,-0.0322787516032493,52.7974873026961,15.11,<20,AAPL,B
3,3,2025-09-10,1,2025-09-10_B1,-8.835092989358232e-05,0.011750673675840423,37.73960649905376,15.04,<20,AAPL,A
4,4,2025-09-10,2,2025-09-10_B2,0.011840070686989206,0.01426993593991614,37.70884457264194,15.04,<20,AAPL,A
2,2,2025-09-18,1,2025-09-18_B1,-0.00012635303036684974,0.03095649243987699,58.054294230327876,15.72,<20,AAPL,B
3,3,2025-09-18,2,2025-09-18_B2,0.03108677337826451,0.03121314237573714,57.968025149760656,15.72,<20,AAPL,A
2,2,2025-09-23,2,2025-09-23_B2,-0.011927255550307042,-0.008974964572508272,75.5800119403821,16.1,<20,AAPL,A
3,3,2025-09-24,1,2025-09-24_B1,0.0029879287677781765,0.00800764909764559,67.75352930804902,16.64,<20,AAPL,A
2,2,2025-09-26,2,2025-09-26_B2,-0.008040161587637805,-0.004353453347452583,69.57355985254136,16.74,<20,AAPL,A
3,3,2025-09-29,1,2025-09-29_B1,0.003716590226158573,0.001304760398545044,64.16178407427029,15.29,<20,AAPL,A
2,2,2025-10-06,1,2025-10-06_B1,0.0003514663959074934,-0.0026164720584214768,63.2427280122217,16.65,<20,AAPL,A
2,2,2025-10-10,2,2025-10-10_B2,0.015603937747641,0.009435889056819583,34.391539906211506,16.43,<20,AAPL,A
2,2,2025-10-22,1,2025-10-22_B1,0.00679156908665109,0.012334113973458334,54.578904249754856,17.87,<20,AAPL,A
2,2,2025-10-31,1,2025-10-31_B1,-0.00037060371344908237,-0.009858058777748835,67.19376186709434,16.91,<20,AAPL,B
3,3,2025-10-31,2,2025-10-31_B2,-0.009490972453935424,-0.0043747451154858815,66.88768609776457,16.91,<20,AAPL,B
4,4,2025-11-03,1,2025-11-03_B1,0.005165250589512278,0.011041658868884936,59.425020477607376,17.44,<20,AAPL,A
2,2,2025-11-05,1,2025-11-05_B1,-7.418397626127097e-05,0.0045623145400592036,62.94896219169627,19.0,<20,AAPL,A
3,3,2025-11-05,2,2025-11-05_B2,0.004636842495734105,-0.0015950738185325575,62.88127694683639,19.0,<20,AAPL,B
2,2,2025-11-07,1,2025-11-07_B1,0.0003358960961408337,0.00571023363439587,55.721648090488294,19.5,<20,AAPL,B
2,2,2025-11-12,2,2025-11-12_B2,-0.0035130091118673093,-0.0017565045559335506,63.4237127704671,17.28,<20,AAPL,A
3,3,2025-11-13,1,2025-11-13_B1,0.0017626969262973015,0.007418016231500796,60.156984352692845,17.51,<20,AAPL,B
2,2,2025-11-17,1,2025-11-17_B1,-0.0011961275370986177,0.002504392030800344,45.20682630264664,19.83,<20,AAPL,A
3,3,2025-11-17,2,2025-11-17_B2,0.003704951162007444,-0.00011227124733345577,44.516627338086636,19.83,<20,AAPL,B
2,2,2025-12-03,2,2025-12-03_B2,-0.014583626884599079,-0.01232915316330844,66.8495027274499,16.59,<20,AAPL,B
3,3,2025-12-04,1,2025-12-04_B1,0.0022878387073710814,-0.0020018588689497472,55.73280647558674,16.08,<20,AAPL,A
2,2,2025-12-05,2,2025-12-05_B2,-0.006569971996840816,-0.0030157248510089456,52.43485268523031,15.78,<20,AAPL,A
3,3,2025-12-08,1,2025-12-08_B1,0.003577752882078744,0.005095587438112194,48.166441807018124,15.41,<20,AAPL,A
2,2,2025-12-15,1,2025-12-15_B1,0.00036528345996501583,-0.00690385739333718,40.26268318425696,15.74,<20,AAPL,B
2,2,2025-12-17,2,2025-12-17_B2,0.0029086892488953,0.0011045655375550609,38.265825130800124,16.48,<20,AAPL,A
2,2,2025-12-19,1,2025-12-19_B1,0.010610373766128155,0.0007024289252837359,36.696510005711296,16.87,<20,AAPL,A
2,2,2025-12-22,2,2025-12-22_B2,0.003252513305736234,0.005544056771141336,39.736969276901725,14.91,<20,AAPL,B
2,2,2025-12-30,2,2025-12-30_B2,-0.0013199868001320487,-0.004216624500421787,46.34710723466078,14.2,<20,AAPL,A
3,3,2025-12-31,1,2025-12-31_B1,-0.002900466277490254,-0.009362264566582264,45.08379959152102,14.33,<20,AAPL,A
4,4,2025-12-31,2,2025-12-31_B2,-0.006480595036453314,-0.003166654392812272,42.35542020589609,14.33,<20,AAPL,A
5,5,2026-01-02,1,2026-01-02_B1,0.0033355570380254767,-0.009821362389741226,36.98530380631638,14.95,<20,AAPL,B
2,2,2026-01-05,2,2026-01-05_B2,-0.016591138908655132,-0.018875697539417865,31.841795302675635,14.51,<20,AAPL,B
3,3,2026-01-06,1,2026-01-06_B1,-0.002323101530961828,-0.006131464696473292,24.290689432717485,14.9,<20,AAPL,B
4,4,2026-01-06,2,2026-01-06_B2,-0.0038172309806466386,-0.0071000496240028,23.46550007327565,14.9,<20,AAPL,B
5,5,2026-01-07,1,2026-01-07_B1,-0.003295397938460411,-0.014292830593554883,22.137791040102883,14.75,<20,AAPL,A
6,6,2026-01-07,2,2026-01-07_B2,-0.011033793395102088,-0.004920994963669331,21.03546914664426,14.75,<20,AAPL,B
7,7,2026-01-08,1,2026-01-08_B1,0.006180998289534967,0.006336495101850395,17.842479660265482,15.38,<20,AAPL,A
2,2,2026-01-13,1,2026-01-13_B1,0.00408100408100409,-0.009432509432509388,30.765073408366348,15.12,<20,AAPL,B
2,2,2026-01-15,2,2026-01-15_B2,-0.008950019372336422,-0.011080976365749761,34.29757218608455,16.75,<20,AAPL,B
3,3,2026-01-16,1,2026-01-16_B1,-0.002150201337034219,-0.026701591148989345,30.13808104697631,15.84,<20,AAPL,A
4,4,2026-01-16,2,2026-01-16_B2,-0.02460429399780599,-0.03439899702241028,29.229155144540414,15.84,<20,AAPL,B
5,5,2026-01-20,1,2026-01-20_B1,-0.010041773778920309,-0.013295308483290497,21.32197077842052,15.86,<20,AAPL,B
6,6,2026-01-20,2,2026-01-20_B2,-0.0032865373691471325,0.0038140063296275162,19.106107922905792,15.86,<20,AAPL,B
7,7,2026-01-21,1,2026-01-21_B1,0.007123956849175656,0.01949928760431505,18.437536038086108,20.09,20-25,AAPL,B
2,2,2026-01-23,1,2026-01-23_B1,0.00016148566814703458,0.027129592248687925,30.224827215683803,15.64,<20,AAPL,A
2,2,2026-01-28,1,2026-01-28_B1,0.004666483667307156,0.008352613622995159,48.11414938886709,16.35,<20,AAPL,A
2,2,2026-02-10,2,2026-02-10_B2,0.018846561233061717,0.006209138390737385,62.785972467719354,17.36,<20,AAPL,A
2,2,2026-02-12,1,2026-02-12_B1,-0.0030114740975106303,-0.013037014447451529,42.61704016017724,17.65,<20,AAPL,B
3,3,2026-02-12,2,2026-02-12_B2,-0.010055823201039977,-0.021985164793148382,41.78564753906784,17.65,<20,AAPL,B
4,4,2026-02-13,1,2026-02-13_B1,-0.01205051948553564,0.017341933490401883,39.05413472293913,20.82,20-25,AAPL,A
5,5,2026-02-13,2,2026-02-13_B2,0.02975096759060161,0.03111927753235079,36.043957254076275,20.82,20-25,AAPL,A
2,2,2026-02-19,1,2026-02-19_B1,-0.004813385796691718,0.006838063949268521,44.86976472700068,19.62,<20,AAPL,A
3,3,2026-02-19,2,2026-02-19_B2,0.011707803923074014,0.015661586887259545,43.35559008427221,19.62,<20,AAPL,B
2,2,2026-02-26,1,2026-02-26_B1,0.005821236460098681,-0.020153267997936878,55.68291396652497,17.93,<20,AAPL,A
2,2,2026-02-27,2,2026-02-27_B2,0.005034636786917454,0.0016277397130635832,45.13703160179093,18.63,<20,AAPL,B
2,2,2026-03-03,1,2026-03-03_B1,0.008451889245831342,0.008796083830503114,41.89971551179736,21.44,20-25,AAPL,A
2,2,2026-03-05,1,2026-03-05_B1,0.005175543625197848,-0.009385500753157493,39.10396277365794,21.15,20-25,AAPL,A
2,2,2026-03-12,1,2026-03-12_B1,0.0027445598902175595,-0.015173495393060201,37.598393920755974,24.23,20-25,AAPL,B
2,2,2026-03-13,2,2026-03-13_B2,0.011234607388453551,0.010634895250279853,32.342765858003744,27.29,>=25,AAPL,B
2,2,2026-03-18,2,2026-03-18_B2,,,35.14227718449972,,>=25,AAPL,A
2,2,2025-02-06,2,2025-02-06_B2,-0.01770473942255314,-0.023787906301071405,,,>=25,AMD,B
3,3,2025-02-07,1,2025-02-07_B1,-0.006192808947222495,0.023754505961734056,,,>=25,AMD,B
4,4,2025-02-07,2,2025-02-07_B2,0.03013392857142866,0.02743675595238098,,,>=25,AMD,A
2,2,2025-02-12,1,2025-02-12_B1,0.009215757137694217,0.013552584026020961,45.262848432910694,16.02,<20,AMD,B
2,2,2025-02-21,2,2025-02-21_B2,-0.007942955140355715,-0.024009387128802333,42.190906949581915,15.66,<20,AMD,B
3,3,2025-02-24,1,2025-02-24_B1,-0.016195068692566657,-0.04048767173141664,39.244165085796666,18.21,<20,AMD,A
4,4,2025-02-24,2,2025-02-24_B2,-0.024692499768796835,-0.03828724683251642,34.06195706076117,18.21,<20,AMD,B
5,5,2025-02-25,1,2025-02-25_B1,-0.01393893419305897,-0.00900815475061624,28.073530550402367,18.98,<20,AMD,B
6,6,2025-02-25,2,2025-02-25_B2,0.005000480815463124,0.007500721223194549,25.423398641737563,18.98,<20,AMD,A
2,2,2025-02-27,2,2025-02-27_B2,-0.0013064013666969113,0.004019696512913189,20.68700405315427,19.1,<20,AMD,A
3,3,2025-02-28,1,2025-02-28_B1,0.005333065003018727,0.00040249547192600376,20.52116949245817,21.13,20-25,AMD,B
2,2,2025-03-03,2,2025-03-03_B2,0.01750101750101749,0.02553927553927559,20.759911692251464,19.63,<20,AMD,A
2,2,2025-03-06,2,2025-03-06_B2,-0.0013156563100900258,0.014877036737172339,30.99958998935041,21.93,20-25,AMD,B
3,3,2025-03-07,1,2025-03-07_B1,0.016214025131738894,-0.00466153222537503,30.715347860107286,24.87,20-25,AMD,A
2,2,2025-03-10,2,2025-03-10_B2,-0.005586014275369879,0.00010344470880319763,30.04977459735092,23.37,20-25,AMD,A
3,3,2025-03-11,1,2025-03-11_B1,0.005721418911890267,0.050452512223031404,29.00807592405218,27.86,>=25,AMD,A
2,2,2025-03-13,1,2025-03-13_B1,0.004917025199754043,0.028477770948576123,39.349082298045374,24.23,20-25,AMD,A
2,2,2025-03-18,1,2025-03-18_B1,-0.002793296089385398,0.012040069350799461,55.94395424940415,20.51,20-25,AMD,B
3,3,2025-03-18,2,2025-03-18_B2,0.014874915483434677,0.026175987636433824,55.03062430918319,20.51,20-25,AMD,A
2,2,2025-03-21,2,2025-03-21_B2,0.06586488771962784,0.06971718500422801,60.74739515523308,19.8,<20,AMD,A
2,2,2025-03-28,2,2025-03-28_B2,-0.01937608990505716,-0.004747142026738954,43.696078367965875,18.69,<20,AMD,B
3,3,2025-03-31,1,2025-03-31_B1,0.01491800039517887,0.005730092867022311,40.18756633811193,21.65,20-25,AMD,B
2,2,2025-04-03,1,2025-04-03_B1,-0.023326043944600593,-0.10101010101010104,33.423971320548375,21.51,20-25,AMD,B
3,3,2025-04-03,2,2025-04-03_B2,-0.07953939652414978,-0.08583004584710535,30.64237378707115,21.51,20-25,AMD,A
4,4,2025-04-04,1,2025-04-04_B1,-0.006834240704274336,-0.02895864705200973,23.598692754519192,30.02,>=25,AMD,A
5,5,2025-04-04,2,2025-04-04_B2,-0.022276650338231826,-0.02460928388150221,23.145542214580246,30.02,>=25,AMD,A
6,6,2025-04-07,1,2025-04-07_B1,-0.0023857807467494076,-0.028152212811642603,21.693277559322013,45.31,>=25,AMD,B
7,7,2025-04-07,2,2025-04-07_B2,-0.02582805213440149,-0.06480927896687794,21.540864266975277,45.31,>=25,AMD,A
8,8,2025-04-08,1,2025-04-08_B1,-0.040014729348226405,0.08825334478949304,19.913607613970157,46.98,>=25,AMD,B
9,8,2025-04-08,2,2025-04-08_B2,0.1336146272855134,0.2366705024932874,17.735921767960235,46.98,>=25,AMD,B
2,2,2025-04-16,1,2025-04-16_B1,-0.00585651537335297,-0.02196193265007324,42.997683662783025,30.12,>=25,AMD,A
3,3,2025-04-16,2,2025-04-16_B2,-0.016200294550809933,-0.009516256938937229,42.41356597116064,30.12,>=25,AMD,B
4,4,2025-04-17,1,2025-04-17_B1,0.00679410409949336,-0.03327959465684017,40.77317558756278,32.64,>=25,AMD,B
2,2,2025-04-28,1,2025-04-28_B1,0.019043588658484947,0.01629284807448166,53.926127243546695,24.84,20-25,AMD,B
2,2,2025-04-29,2,2025-04-29_B2,-0.0036443148688047535,0.013327780091628352,56.11300458322137,25.15,>=25,AMD,B
3,3,2025-04-30,1,2025-04-30_B1,0.01703417284982752,0.02988818058313303,55.31875552893659,24.17,20-25,AMD,B
2,2,2025-05-06,1,2025-05-06_B1,-0.0013172560543114344,0.0012159286655183358,56.51444064854592,23.64,20-25,AMD,A
3,3,2025-05-06,2,2025-05-06_B2,0.002536525974025974,0.018262987012986984,56.182091911231474,23.64,20-25,AMD,B
2,2,2025-05-15,2,2025-05-15_B2,0.018264045921029693,0.019133762393459756,70.20184351882448,18.62,<20,AMD,B
2,2,2025-05-19,2,2025-05-19_B2,-0.00967320261437908,-0.010457516339869306,65.67124860740273,17.24,<20,AMD,A
3,3,2025-05-20,1,2025-05-20_B1,-0.000791974656811012,-0.009151707145371403,62.477168325407554,18.14,<20,AMD,A
4,4,2025-05-20,2,2025-05-20_B2,-0.008366358432408657,-0.013210039630118891,62.21295446626419,18.14,<20,AMD,B
5,5,2025-05-21,1,2025-05-21_B1,-0.004884547069271734,-0.008348134991118986,59.359378859476365,18.09,<20,AMD,A
6,6,2025-05-21,2,2025-05-21_B2,-0.0034805890227577025,-0.012048192771084288,57.70902873533012,18.09,<20,AMD,B
7,7,2025-05-22,1,2025-05-22_B1,-0.008597528210639386,-0.009672219236969357,56.50927238151327,20.87,20-25,AMD,B
8,8,2025-05-22,2,2025-05-22_B2,-0.001084010840108442,-0.003252032520325198,53.557641491494806,20.87,20-25,AMD,A
9,8,2025-05-23,1,2025-05-23_B1,-0.0021703743895821566,0.040784952070898946,53.18368980810467,20.28,20-25,AMD,A
10,8,2025-05-23,2,2025-05-23_B2,0.043048758383179266,0.038154794272249354,52.39572900335574,20.28,20-25,AMD,B
2,2,2025-05-28,1,2025-05-28_B1,-0.009651662718259141,-0.010265859436693881,60.017383236560555,18.96,<20,AMD,B
3,3,2025-05-28,2,2025-05-28_B2,-0.0006201825108532594,0.0014175600248072702,56.339565438759976,18.96,<20,AMD,A
4,4,2025-05-29,1,2025-05-29_B1,0.002039007092198617,-0.02801418439716309,56.10395384298583,19.31,<20,AMD,B
2,2,2025-06-05,1,2025-06-05_B1,-0.012632297712529788,-0.008193922840559864,61.005665347533544,17.61,<20,AMD,B
3,3,2025-06-05,2,2025-06-05_B2,0.004495159059474377,0.004149377593360907,56.17035863944284,17.61,<20,AMD,A
2,2,2025-06-11,1,2025-06-11_B1,-0.005416051206302286,-0.013622189397669428,65.69456036075078,16.95,<20,AMD,A
3,3,2025-06-11,2,2025-06-11_B2,-0.00825082508250825,-0.022359735973597424,63.27025979569595,16.95,<20,AMD,A
4,4,2025-06-12,1,2025-06-12_B1,-0.014226289517470948,-0.03144758735440933,59.67687385181645,17.26,<20,AMD,B
5,5,2025-06-12,2,2025-06-12_B2,-0.017469828677525473,-0.01949531606042694,54.02632696101551,17.26,<20,AMD,B
6,6,2025-06-13,1,2025-06-13_B1,-0.002061501460230157,0.09938154956193088,48.09023967275112,18.02,<20,AMD,B
7,7,2025-06-13,2,2025-06-13_B2,0.10165260802203467,0.08796694783955929,47.43942130970943,18.02,<20,AMD,B
2,2,2025-06-18,1,2025-06-18_B1,0.0020548486524935203,0.014225875286493411,63.60120495404491,21.6,20-25,AMD,B
2,2,2025-06-30,1,2025-06-30_B1,-0.0038612749227745816,-0.03770008424599835,76.23114802843794,16.32,<20,AMD,B
3,3,2025-06-30,2,2025-06-30_B2,-0.033969976742547,-0.040947212629501545,74.10475208841913,16.32,<20,AMD,A
4,4,2025-07-01,1,2025-07-01_B1,-0.0072225869993432605,0.012986065513970973,58.661637663322786,16.73,<20,AMD,B
5,5,2025-07-01,2,2025-07-01_B2,0.020355673133450776,0.017857142857142697,56.076733886145185,16.73,<20,AMD,A
2,2,2025-07-03,1,2025-07-03_B1,0.0015973281057140702,-0.019821389675451898,58.10086355527478,16.64,<20,AMD,B
2,2,2025-07-07,2,2025-07-07_B2,0.022914349276974444,0.022098628105302325,50.21167792600165,16.38,<20,AMD,A
2,2,2025-07-18,2,2025-07-18_B2,0.010127388535031869,0.0001273885350319123,70.54475897964704,16.52,<20,AMD,A
2,2,2025-07-22,1,2025-07-22_B1,0.002137167281911874,0.022861213651965553,60.76211069765898,16.65,<20,AMD,B
2,2,2025-07-31,2,2025-07-31_B2,-0.02858439201451901,-0.026599364791288556,72.6028909439388,15.48,<20,AMD,A
3,3,2025-08-01,1,2025-08-01_B1,0.0020434376459597986,0.037891172349369506,60.82527647758071,16.72,<20,AMD,B
2,2,2025-08-05,1,2025-08-05_B1,-0.010273000737839846,-0.07066235314149491,65.02042452950654,17.52,<20,AMD,B
3,3,2025-08-05,2,2025-08-05_B2,-0.061016171579309476,-0.0646863172382154,61.07594821858091,17.52,<20,AMD,A
4,4,2025-08-06,1,2025-08-06_B1,-0.003908635641871349,0.04739220715768896,44.128439731251824,17.85,<20,AMD,B
5,5,2025-08-06,2,2025-08-06_B2,0.051502145922746816,0.05702023298589829,43.34925521900582,17.85,<20,AMD,B
2,2,2025-08-14,1,2025-08-14_B1,0.0018827177584584054,-0.017221330084722375,60.72616826464573,14.49,<20,AMD,A
2,2,2025-08-19,2,2025-08-19_B2,-0.018852065321806045,-0.008165225744476546,40.52829440672117,14.99,<20,AMD,B
3,3,2025-08-20,1,2025-08-20_B1,0.010892179659772374,-0.0013462244523314091,37.15693775187163,15.57,<20,AMD,A
2,2,2025-08-25,1,2025-08-25_B1,-0.0034165090598499317,0.017570618022085264,40.755274560107736,14.22,<20,AMD,B
3,3,2025-08-25,2,2025-08-25_B2,0.021059075604530138,0.02001836547291099,40.05988688272728,14.22,<20,AMD,B
2,2,2025-08-29,2,2025-08-29_B2,-0.014813448890527978,-0.002089864158829697,39.870911362948455,14.43,<20,AMD,A
3,3,2025-09-02,1,2025-09-02_B1,0.012914898926877921,0.007798852008984277,36.44374321739997,15.36,<20,AMD,B
2,2,2025-09-05,2,2025-09-05_B2,-0.003705664372683975,0.0016543144520910534,28.27473341142614,15.3,<20,AMD,B
3,3,2025-09-08,1,2025-09-08_B1,0.005379914984059526,0.024375664187034986,27.736013486488176,15.18,<20,AMD,B
2,2,2025-09-11,1,2025-09-11_B1,-0.0039687620023044715,0.018499551913967578,42.65689570252117,15.35,<20,AMD,B
3,3,2025-09-11,2,2025-09-11_B2,0.022557840616966706,0.018316195372750605,41.77078152620018,15.35,<20,AMD,A
2,2,2025-09-25,1,2025-09-25_B1,0.004358655043586657,-0.01008717310087176,51.81560088501612,16.18,<20,AMD,A
