signal,ticker,beta,ret4,terc
2013-04-19,AAPL,1.4041031651173579,0.10941534825197441,high
2013-04-19,AMD,2.4850118630751563,0.6477733297644552,high
2013-04-19,AMZN,1.4154851347964459,0.03680086809568839,high
2013-04-19,AVGO,1.3014614485963178,0.10140760013771222,high
2013-04-19,BA,0.48007807334609826,0.12460208274840023,low
2013-04-19,BIDU,1.3764197344854767,0.09591578024130709,high
2013-04-19,C,1.1425878156636344,0.14257166683722522,mid
2013-04-19,COST,0.8375686272276689,0.08233610679545666,mid
2013-04-19,GOOGL,1.0005012802538171,0.13665968177199783,mid
2013-04-19,GS,0.9276190760656791,0.14028252078889003,mid
2013-04-19,INTC,0.87968638144949,0.07130126307445384,mid
2013-04-19,JPM,0.7193249397726283,0.10734701977479966,low
2013-04-19,MARA,-0.22992049192228348,0.21052630562886954,low
2013-04-19,META,0.4394989090968885,0.02020988989564798,low
2013-04-19,MSFT,0.777539783928487,0.171313348864631,mid
2013-04-19,MSTR,0.6659268352363498,0.001984132516907211,low
2013-04-19,MU,1.7387761134128004,0.209625663976591,high
2013-04-19,NVDA,1.265227781394542,0.18297535772271378,mid
2013-04-19,SMCI,1.6509851984427202,0.10461538010094995,high
2013-04-19,TSLA,0.470527494442961,0.9130250326766256,low
2013-04-19,TSM,0.5836996343402637,0.03776601173587624,low
2013-04-19,V,0.6413305762466412,0.1257013891583869,low
2013-06-21,AAPL,1.5484734871350199,0.02769053329561988,high
2013-06-21,AMD,3.105542997214719,0.007500052452087402,high
2013-06-21,AMZN,1.2886999011885256,0.11658619487372879,high
2013-06-21,AVGO,1.1571663003383983,0.012573614448702086,mid
2013-06-21,BA,0.49619133201519083,0.06981391771532675,low
2013-06-21,BIDU,1.188242412464838,0.1891660151611032,high
2013-06-21,C,0.9758620842412297,0.11691913093918127,mid
2013-06-21,COST,0.773963597377809,0.08670039610355285,mid
2013-06-21,GOOGL,1.0592818655482623,0.017787982852521367,mid
2013-06-21,GS,1.0798879346172954,0.06554295371378638,mid
2013-06-21,INTC,0.6566793651580525,-0.047933876481052184,low
2013-06-21,JPM,0.6461053894822927,0.08083142488342632,low
2013-06-21,MARA,-0.39227068069993437,0.1500000458497286,low
2013-06-21,META,0.7631643157988899,0.05503458770207259,mid
2013-06-21,MSFT,0.8196689332234893,-0.05620681735809907,mid
2013-06-21,MSTR,0.5830561336918468,0.14833273919661405,low
2013-06-21,MU,1.6256395778528918,-0.01223022165175558,high
2013-06-21,NVDA,1.4181257364168398,-0.012482667325156238,high
2013-06-21,SMCI,1.4569325975125778,0.08394161616042961,high
2013-06-21,TSLA,0.7359238109023891,0.202209942607823,low
2013-06-21,TSM,0.4426368100735981,-0.04016301058212102,low
2013-06-21,V,0.7461614660747802,0.058050129074904255,low
2014-02-07,AAPL,1.1027823126883651,0.02070511269131936,mid
2014-02-07,AMD,2.4099462101604034,0.13832853461552608,high
2014-02-07,AMZN,1.5388574683978866,0.030408760407272917,high
2014-02-07,AVGO,1.1309888455966808,0.10924518710147502,mid
2014-02-07,BA,0.6968895047119601,0.011966593317882745,low
2014-02-07,BIDU,1.4208631841103034,0.12970084383546898,high
2014-02-07,C,1.1827058243607966,0.005674884037919714,high
2014-02-07,COST,0.6996043884911185,-0.004735188628482545,low
2014-02-07,GOOGL,1.2578764481737124,0.03172136384438762,high
2014-02-07,GS,1.0647795636937418,0.07614402759680239,mid
2014-02-07,INTC,0.7678221054495431,0.01776126895649366,low
2014-02-07,JPM,0.6753252829405256,0.0490993049529822,low
2014-02-07,MARA,0.8688468331750095,0.1487602628357858,mid
2014-02-07,META,1.198348268774686,0.08519905757049573,high
2014-02-07,MSFT,0.8671642447849727,0.036652081571496575,low
2014-02-07,MSTR,0.9373570597573536,0.059183940254251555,mid
2014-02-07,MU,0.3598449420786927,-0.0036719768154812593,low
2014-02-07,NVDA,1.0792142732848722,0.15689978029284934,mid
2014-02-07,SMCI,0.31234735423034937,-0.0076372468765741885,low
2014-02-07,TSLA,1.4994215499012529,0.3199485068015444,high
2014-02-07,TSM,0.7878557201272552,0.0938228802253962,low
2014-02-07,V,0.9550656115433537,0.017043911985311633,mid
2014-05-16,AAPL,0.6969915710106559,0.06937117847959962,low
2014-05-16,AMD,1.369316471262184,0.0646766741580711,high
2014-05-16,AMZN,1.5883074712260257,0.0959690426493911,high
2014-05-16,AVGO,0.9664797054687853,0.04293226440480957,mid
2014-05-16,BA,0.8258569453263671,0.011314087265203998,low
2014-05-16,BIDU,1.5493403964576198,0.15041673539217704,high
2014-05-16,C,1.3173202134742032,0.024763168817526937,mid
2014-05-16,COST,0.6482825733272755,-0.002681407810372516,low
2014-05-16,GOOGL,1.455939027517739,0.060666248443577375,high
2014-05-16,GS,1.076579402362282,0.06047437931851163,mid
2014-05-16,INTC,0.5855312906018373,0.15685519722221475,low
2014-05-16,JPM,0.9249034251947623,0.06996810065934644,mid
2014-05-16,MARA,0.885704819744639,0.2948718121144267,low
2014-05-16,META,1.524608659075162,0.11168561687540013,high
2014-05-16,MSFT,0.9090510750557594,0.03514932580520469,mid
2014-05-16,MSTR,1.3521437407949377,0.08850565618776907,high
2014-05-16,MU,0.4325240714163966,0.19746443542298775,low
2014-05-16,NVDA,1.0523135139194575,0.08797326950724615,mid
2014-05-16,SMCI,0.8463642164513899,0.1685223036906196,low
2014-05-16,TSLA,1.7875532149079987,0.07757358198762376,high
2014-05-16,TSM,0.7582243239438767,0.015406821751157151,low
2014-05-16,V,1.1638340667783698,0.007053980957822281,mid
2014-10-24,AAPL,0.91602180527058,0.10691883548264447,low
2014-10-24,AMD,1.832831803592868,0.033582056689353434,high
2014-10-24,AMZN,1.5827745643373932,0.1587473424791188,high
2014-10-24,AVGO,1.631825810375559,0.10213798973387411,high
2014-10-24,BA,0.8915642657208123,0.08622383098594022,low
2014-10-24,BIDU,1.6529357775558917,0.10222421787479874,high
2014-10-24,C,1.212468432294131,0.035907348219048174,mid
2014-10-24,COST,0.2826382575131204,0.07114381022390326,low
2014-10-24,GOOGL,1.293653313048158,-0.005483670816015862,mid
2014-10-24,GS,1.04088076758412,0.03403321530762371,mid
2014-10-24,INTC,0.9237929966847618,0.07263411167106493,low
2014-10-24,JPM,0.989180445030947,0.029111321682163238,mid
2014-10-24,MARA,0.5014226472854079,0.2005076097080496,low
2014-10-24,META,0.9605509706503921,-0.08578155852257396,mid
2014-10-24,MSFT,0.7009936712540106,0.04010401975472311,low
2014-10-24,MSTR,0.5989204587797992,0.05257137238033227,low
2014-10-24,MU,1.9629258191729082,0.10431422494616771,high
2014-10-24,NVDA,1.1477449949646894,0.1066017431906856,mid
2014-10-24,SMCI,1.5494392297304151,0.1047462933715968,high
2014-10-24,TSLA,1.4061763519479138,0.03205235949256635,high
2014-10-24,TSM,0.525095266287681,0.08876294304430132,low
2014-10-24,V,1.0289237246879182,0.19083757873576057,mid
2015-06-12,AAPL,1.0473904286791345,-0.030588971028218226,high
2015-06-12,AMD,0.7966380763253049,-0.15151511398369377,mid
2015-06-12,AMZN,0.8826360350549869,0.03161055873974439,mid
2015-06-12,AVGO,1.1041088038563052,-0.07567450206719961,high
2015-06-12,BA,0.5368207874167619,0.011764654340884917,low
2015-06-12,BIDU,1.2277772800306823,-0.09561659691675439,high
2015-06-12,C,0.7404435865567341,-0.04465066030131237,low
2015-06-12,COST,0.47678462775519814,0.028390275803879206,low
2015-06-12,GOOGL,1.0359129199679438,0.015781657206396016,mid
2015-06-12,GS,0.7457605868774718,-0.02755090202032484,low
2015-06-12,INTC,0.9302754501897564,-0.06864622092846229,mid
2015-06-12,JD,0.6088663845640916,-0.14624503624464924,low
2015-06-12,JPM,0.7338519753789392,-0.01758237286801745,low
2015-06-12,MARA,0.006333424956766305,-0.07547169952781874,low
2015-06-12,META,0.6949848495959636,0.07874399932624021,low
2015-06-12,MSFT,1.3991679182378132,-0.029584524129598444,high
2015-06-12,MSTR,0.7730877528568835,-0.01706295413570802,mid
2015-06-12,MU,1.8565206238539576,-0.3008356433909153,high
2015-06-12,NVDA,1.229967011346518,-0.06442445914786421,high
2015-06-12,SMCI,1.3047529229656571,-0.23813730507453545,high
2015-06-12,TSLA,1.2019726377690818,0.033746807755221875,high
2015-06-12,TSM,1.0330505109141774,-0.04647234380752718,mid
2015-06-12,V,0.8425412195941384,-0.013125683514719877,mid
2015-07-17,AAPL,1.050668704539786,-0.10538494481785043,mid
2015-07-17,AMD,0.89830303790245,0.0279330014475605,mid
2015-07-17,AMZN,0.8622659535319466,0.1004327419990354,mid
2015-07-17,AVGO,1.115301971375529,-0.08753554249091378,high
2015-07-17,BA,0.544832675955232,-0.011917733884800108,low
2015-07-17,BABA,1.3059835386667409,-0.10316696750423437,high
2015-07-17,BIDU,1.2446792553860513,-0.17234426792723145,high
2015-07-17,C,0.7130547409811485,-0.01974467825382309,low
2015-07-17,COST,0.48013681675532754,0.009745671367768827,low
2015-07-17,GOOGL,1.019229575599788,-0.014650832671850855,mid
2015-07-17,GS,0.7489497943399096,-0.049138671333407546,low
2015-07-17,INTC,0.999965819210664,-0.015269727386349019,mid
