ticker,timestamp,pattern,direction,entry_price,level_price,blocked_by,blocked_reason,atr_ratio
AAPL,2025-08-11 16:35:00,LP1,short,226.3471,226.6353,atr,ATR ratio 0.011 < 0.2 (HARD BLOCK),0.011143566703881272
AAPL,2025-08-11 16:45:00,LP1,short,226.2373,226.6353,atr,ATR ratio 0.495 < 0.6 (below entry threshold),0.49495366731395185
AAPL,2025-08-11 16:55:00,LP1,short,226.1874,226.6353,atr,ATR ratio 0.495 < 0.6 (below entry threshold),0.49495366731395185
AAPL,2025-08-11 17:10:00,LP1,short,226.3779,226.6353,atr,ATR ratio 0.495 < 0.6 (below entry threshold),0.49495366731395185
AAPL,2025-08-11 17:15:00,LP1,short,226.377,226.6353,atr,ATR ratio 0.495 < 0.6 (below entry threshold),0.49495366731395185
AAPL,2025-08-11 17:20:00,LP1,short,226.2672,226.6353,atr,ATR ratio 0.495 < 0.6 (below entry threshold),0.49495366731395185
AAPL,2025-08-11 17:25:00,LP1,short,226.397,226.6353,atr,ATR ratio 0.495 < 0.6 (below entry threshold),0.49495366731395185
AAPL,2025-08-11 17:30:00,LP1,short,226.2181,226.6353,atr,ATR ratio 0.495 < 0.6 (below entry threshold),0.49495366731395185
AAPL,2025-08-11 17:45:00,LP1,short,226.1774,226.6353,atr,ATR ratio 0.495 < 0.6 (below entry threshold),0.49495366731395185
AAPL,2025-08-11 18:15:00,CLP,short,226.0776,226.1018,atr,ATR ratio 0.476 < 0.6 (below entry threshold),0.47627015745687806
AAPL,2025-08-11 18:25:00,LP1,short,226.0676,226.1018,atr,ATR ratio 0.476 < 0.6 (below entry threshold),0.47627015745687806
AAPL,2025-08-11 18:35:00,LP1,short,226.0683,226.1018,atr,ATR ratio 0.476 < 0.6 (below entry threshold),0.47627015745687806
AAPL,2025-08-11 18:40:00,LP1,short,226.0896,226.1018,atr,ATR ratio 0.476 < 0.6 (below entry threshold),0.47627015745687806
AAPL,2025-08-11 18:45:00,LP1,short,226.0876,226.1018,atr,ATR ratio 0.476 < 0.6 (below entry threshold),0.47627015745687806
AAPL,2025-08-11 19:20:00,CLP,short,226.0975,226.1018,atr,ATR ratio 0.476 < 0.6 (below entry threshold),0.47627015745687806
AAPL,2025-08-11 19:25:00,LP1,short,226.0777,226.1018,atr,ATR ratio 0.476 < 0.6 (below entry threshold),0.47627015745687806
AAPL,2025-08-11 19:30:00,LP1,short,226.0676,226.1018,atr,ATR ratio 0.476 < 0.6 (below entry threshold),0.47627015745687806
AAPL,2025-08-11 19:35:00,LP1,short,226.0975,226.1018,atr,ATR ratio 0.476 < 0.6 (below entry threshold),0.47627015745687806
AAPL,2025-09-22 17:00:00,MODEL4,short,255.9904,259.3897,atr,ATR ratio 0.192 < 0.2 (HARD BLOCK),0.1922887389934468
AAPL,2025-09-22 17:25:00,MODEL4,short,256.0503,259.3897,atr,ATR ratio 0.192 < 0.2 (HARD BLOCK),0.1922887389934468
AAPL,2025-10-06 17:05:00,MODEL4,short,256.0103,259.3897,atr,ATR ratio 0.117 < 0.2 (HARD BLOCK),0.11712560106819891
AAPL,2025-10-06 17:20:00,MODEL4,short,256.0602,259.3897,atr,ATR ratio 0.117 < 0.2 (HARD BLOCK),0.11712560106819891
AAPL,2025-10-20 16:55:00,MODEL4,long,261.949,259.3897,atr,ATR ratio 0.143 < 0.2 (HARD BLOCK),0.14286926577524361
AAPL,2025-10-20 17:30:00,MODEL4,long,262.0488,259.3897,atr,ATR ratio 0.143 < 0.2 (HARD BLOCK),0.14286926577524361
AAPL,2025-10-21 16:35:00,MODEL4,long,262.2584,259.3897,atr,ATR ratio 0.150 < 0.2 (HARD BLOCK),0.15003591969778565
AAPL,2025-10-23 16:30:00,LP1,short,259.1743,259.3897,time,Before open delay (16:30 IST < 16:35 IST),0.0
AAPL,2025-10-23 16:35:00,LP1,short,259.2042,259.3897,atr,ATR ratio 0.043 < 0.2 (HARD BLOCK),0.04264348271085941
AAPL,2025-10-27 16:55:00,MODEL4,long,268.207,265.016,atr,ATR ratio 0.165 < 0.2 (HARD BLOCK),0.16510194390948632
AAPL,2025-10-27 17:05:00,MODEL4,long,268.1172,265.016,atr,ATR ratio 0.165 < 0.2 (HARD BLOCK),0.16510194390948632
AAPL,2025-10-27 17:25:00,LP1,long,268.1671,265.016,atr,ATR ratio 0.165 < 0.2 (HARD BLOCK),0.16510194390948632
AAPL,2025-10-27 17:50:00,LP1,long,268.2869,265.016,atr,ATR ratio 0.166 < 0.2 (HARD BLOCK),0.165605180753882
AAPL,2025-10-28 16:40:00,MODEL4,long,268.1035,265.016,atr,ATR ratio 0.171 < 0.2 (HARD BLOCK),0.17062748446095632
AAPL,2025-10-28 16:45:00,MODEL4,long,268.1571,265.016,atr,ATR ratio 0.171 < 0.2 (HARD BLOCK),0.17062748446095632
