Date,VIX_Close,VIX_Chg_Pct,MedianTickerReturn,LevelA,LevelB,LevelC,LevelD,LevelE,LevelF,CrushNext3D
2025-02-04,,,0.017322357456694082,False,False,False,False,False,False,False
2025-02-05,,,0.0008549001321209726,False,False,False,False,False,False,False
2025-02-06,,,0.010573842120594312,False,False,False,False,False,False,False
2025-02-07,,,0.0058299766800933295,False,False,False,False,False,False,False
2025-02-10,15.81,,-0.004803073967339144,False,False,False,False,False,False,False
2025-02-11,16.02,1.3282732447817747,-0.008850062806897263,False,False,False,False,False,False,True
2025-02-12,15.89,-0.811485642946308,-0.006396221309257322,False,False,False,False,False,False,True
2025-02-13,15.1,-4.971680302076786,0.017900630884580826,False,False,False,False,False,False,False
2025-02-14,14.77,-2.1854304635761546,0.008011335767616812,False,False,False,False,False,False,False
2025-02-15,,,0.0024766304516710136,False,False,False,False,False,False,False
2025-02-17,15.37,4.062288422478,,False,False,False,False,False,False,False
2025-02-18,15.35,-0.13012361743656164,0.004943348352946408,False,False,False,False,False,False,False
2025-02-19,15.27,-0.5211726384364845,-0.014017859652739384,False,False,False,True,False,False,False
2025-02-20,15.66,2.5540275049116046,-0.0013576336034886172,False,False,False,False,False,False,False
2025-02-21,18.21,16.283524904214563,0.0007544512624484412,False,True,True,False,False,False,False
2025-02-22,,,-0.030651638584318075,False,False,False,True,True,True,False
2025-02-24,18.98,4.228445908841283,-0.01733929738151474,False,False,False,True,True,False,False
2025-02-25,19.43,2.3709167544784027,-0.028336980306345794,False,False,False,True,True,True,False
2025-02-26,19.1,-1.6984045290787342,-0.009319426727695701,False,False,False,False,False,False,False
2025-02-27,21.13,10.62827225130889,0.005074091838537909,False,True,False,False,False,False,True
2025-02-28,19.63,-7.0989115002366265,-0.0405224380442063,False,False,False,True,True,True,False
2025-03-01,,,0.016381161337675643,False,False,False,False,False,False,False
2025-03-03,22.78,16.04686704024454,0.012997658079625163,False,True,True,False,False,False,False
2025-03-04,23.51,3.2045654082528463,-0.04626213316682737,False,False,False,True,True,True,True
2025-03-05,21.93,-6.720544449170573,0.01695466117761768,False,False,False,False,False,False,False
2025-03-06,24.87,13.40629274965801,-0.0039035815360594084,False,True,False,False,False,False,True
2025-03-07,23.37,-6.0313630880579066,-0.014655248521232456,False,False,False,True,False,False,False
2025-03-08,,,0.0035552809153498455,False,False,False,False,False,False,False
2025-03-10,27.86,19.21266581086862,-0.02176045661286008,True,True,True,True,True,True,True
2025-03-11,26.92,-3.3740129217516124,-0.021823040380047454,True,False,False,True,True,True,True
2025-03-12,24.23,-9.992570579494808,0.02092223802750115,False,False,False,False,False,False,True
2025-03-13,24.66,1.7746595130004206,-0.012142706861831498,False,False,False,True,False,False,True
2025-03-14,21.77,-11.719383617193834,-0.0004864601913410205,False,False,False,False,False,False,True
2025-03-15,,,0.011506823205895134,False,False,False,False,False,False,False
2025-03-17,20.51,-5.787781350482302,0.006666666666666599,False,False,False,False,False,False,False
2025-03-18,21.7,5.802047781569963,-0.001784875528417107,False,False,False,False,False,False,True
2025-03-19,19.9,-8.294930875576046,-0.0017629483920055256,False,False,False,False,False,False,False
2025-03-20,19.8,-0.5025125628140614,0.00745211230648124,False,False,False,False,False,False,True
2025-03-21,19.28,-2.626262626262621,-0.007194244604316613,False,False,False,False,False,False,True
